created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-02-03T20:09:40Z,1621601837051691e3,1621601837051691012,"Happy to have scored my first goal in the Saudi league and great effort by whole team to achieve an important draw in a very difficult match! 💪🏼
💛💙 https://t.co/3Ll56WrkWn","Happy to have scored my first goal in the Saudi league and great effort by whole team to achieve an important draw in a very difficult match! 💪🏼
💛💙 https://t.co/3Ll56WrkWn",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,20954,266981,FALSE,NA,FALSE,NA,en,FALSE,NA,147,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-02T15:39:59Z,1621171580524187600,1621171580524187648,"Good luck tomorrow!💪🏼
💛💙 https://t.co/FL6S0z8Dse","Good luck tomorrow!💪🏼
💛💙 https://t.co/FL6S0z8Dse",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,8675,116053,FALSE,NA,FALSE,NA,en,FALSE,NA,24,NA,,1621124329370169300,1621124329370169344,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-01T17:57:29Z,1620843796899709e3,1620843796899708929,Parabéns parceiro!👏🏼🎂 @talisca_aa https://t.co/ZXnLSTMKHQ,Parabéns parceiro!👏🏼🎂 @talisca_aa https://t.co/ZXnLSTMKHQ,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,12682,179142,FALSE,NA,FALSE,NA,pt,FALSE,NA,33,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-31T17:57:38Z,1620481444752789500,1620481444752789505,Focused on the next game! 💪🏼 https://t.co/N1Xqf4H8Yv,Focused on the next game! 💪🏼 https://t.co/N1Xqf4H8Yv,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,15119,214279,FALSE,NA,FALSE,NA,en,FALSE,NA,28,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-30T20:59:41Z,1620164872322547700,1620164872322547712,Hard work never stops 💪🏼 https://t.co/SpII10Vnyr,Hard work never stops 💪🏼 https://t.co/SpII10Vnyr,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,24234,367299,FALSE,NA,FALSE,NA,en,FALSE,NA,24,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-25T21:22:27Z,1618358663701487600,1618358663701487616,"Looking forward to the big game tomorrow!💪🏼
Let’s go team!💙💛 https://t.co/T3EvOqcv64","Looking forward to the big game tomorrow!💪🏼
Let’s go team!💙💛 https://t.co/T3EvOqcv64",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,26376,369468,FALSE,NA,FALSE,NA,en,FALSE,NA,60,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-22T22:04:01Z,1617281959893340200,1617281959893340160,"First game, first win - well done guys 🙌🏻  Thanks to all the fans for incredible support. 💙💛 https://t.co/vmgwE8TgVo","First game, first win - well done guys 🙌🏻  Thanks to all the fans for incredible support. 💙💛 https://t.co/vmgwE8TgVo",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,39111,467296,FALSE,NA,FALSE,NA,en,FALSE,NA,92,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-19T21:39:20Z,1616188584666763300,1616188584666763270,"So happy to be back on the pitch, and on the score sheet!! And nice to see some old friends!👍🏼 https://t.co/qZqKGHsrVD","So happy to be back on the pitch, and on the score sheet!! And nice to see some old friends!👍🏼 https://t.co/qZqKGHsrVD",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,98566,1002506,FALSE,NA,FALSE,NA,en,FALSE,NA,94,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-18T12:00:01Z,1615680405507653600,1615680405507653634,"For a chance to win my signed boots, enter below and download the free @livescore app

https://t.co/BvZiRACM0a https://t.co/b5Hj9fOWxh","For a chance to win my signed boots, enter below and download the free @livescore app

https://t.co/BvZiRACM0a https://t.co/b5Hj9fOWxh",FALSE,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,10514,184134,FALSE,NA,FALSE,NA,en,FALSE,NA,110,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-17T17:24:39Z,1615399716434346e3,1615399716434346004,"When you push your body hard, you clear your mind of fear. Once you are convinced that only hard work can get you to your goals, there is absolutely no stopping you.
#ClearxCR7 #ClearMen #ClearHeadBeFearless #KeepAClearHead https://t.co/a3evPoqoCT","When you push your body hard, you clear your mind of fear. Once you are convinced that only hard work can get you to your goals, there is absolutely no stopping you.
#ClearxCR7 #ClearMen #ClearHeadBeFearless #KeepAClearHead https://t.co/a3evPoqoCT",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,7475,78484,FALSE,NA,FALSE,NA,en,FALSE,NA,223,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-16T17:53:00Z,1615044463553876e3,1615044463553875977,Quality time with my loves ❤️ https://t.co/1kQk9aUkOs,Quality time with my loves ❤️ https://t.co/1kQk9aUkOs,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,34236,649499,FALSE,NA,FALSE,NA,en,FALSE,NA,29,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
