"","user","created_at","id","id_str","text","full_text","truncated","entities","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","geo","coordinates","place","contributors","is_quote_status","retweet_count","favorite_count","favorited","favorited_by","retweeted","scopes","lang","possibly_sensitive","display_text_width","display_text_range","retweeted_status","quoted_status","quoted_status_id","quoted_status_id_str","quoted_status_permalink","quote_count","timestamp_ms","reply_count","filter_level","metadata","query","withheld_scope","withheld_copyright","withheld_in_countries","possibly_sensitive_appealable"
"1","neymarjr",2023-01-31 13:25:46,1620413026984955904,1620413026984955904,"🔥👀 @pumafootball 
PUMA FUTURE, available on https://t.co/CgUJQPiBap https://t.co/YoQ1uDm6dC","🔥👀 @pumafootball 
PUMA FUTURE, available on https://t.co/CgUJQPiBap https://t.co/YoQ1uDm6dC",FALSE,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4290,127849,FALSE,NA,FALSE,NA,"en",FALSE,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","neymarjr",2023-01-29 18:21:51,1619762763622125568,1619762763622125568,"https://t.co/tdDgI8jGei","https://t.co/tdDgI8jGei",FALSE,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,7774,189876,FALSE,NA,FALSE,NA,"zxx",FALSE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","neymarjr",2023-01-21 18:16:26,1616862299754754048,1616862299754754048,"Playing some games at @blazecom . Come watch. (Play responsibly / +18 ONLY)

https://t.co/UYeLDeh7in
https://t.co/UYeLDeh7in
https://t.co/UYeLDeh7in","Playing some games at @blazecom . Come watch. (Play responsibly / +18 ONLY)

https://t.co/UYeLDeh7in
https://t.co/UYeLDeh7in
https://t.co/UYeLDeh7in",FALSE,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,441,12188,FALSE,NA,FALSE,NA,"en",FALSE,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","neymarjr",2023-01-17 22:17:24,1615473390453760000,1615473390453760000,"Partiu 🇶🇦 
@qatarairways https://t.co/5UX8e38yoO","Partiu 🇶🇦 
@qatarairways https://t.co/5UX8e38yoO",FALSE,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,3243,100925,FALSE,NA,FALSE,NA,"pt",FALSE,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","neymarjr",2023-01-13 18:34:42,1613967791425753088,1613967791425753088,"Live ON! Lançamento da nova @PUMA #FUTURE direto de Paris 🇫🇷
https://t.co/lbiyU2Xh5j
https://t.co/lbiyU2Xh5j
https://t.co/lbiyU2Xh5j","Live ON! Lançamento da nova @PUMA #FUTURE direto de Paris 🇫🇷
https://t.co/lbiyU2Xh5j
https://t.co/lbiyU2Xh5j
https://t.co/lbiyU2Xh5j",FALSE,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,475,11048,FALSE,NA,FALSE,NA,"pt",FALSE,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","neymarjr",2023-01-13 14:22:53,1613904422047830016,1613904422047830016,"Win some, lose some. 
https://t.co/ChyFXK4EGV https://t.co/5NIlafQAvp","Win some, lose some. 
https://t.co/ChyFXK4EGV https://t.co/5NIlafQAvp",FALSE,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1258,46412,FALSE,NA,FALSE,NA,"en",FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","neymarjr",2023-01-13 11:16:26,1613857500847022080,1613857500847022080,"FUTURE, if you know you know 🫶 @pumafootball
Available now on https://t.co/CgUJQPi3kR . https://t.co/PCgwcSLUVv","FUTURE, if you know you know 🫶 @pumafootball
Available now on https://t.co/CgUJQPi3kR . https://t.co/PCgwcSLUVv",FALSE,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4479,124715,FALSE,NA,FALSE,NA,"en",FALSE,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","neymarjr",2023-01-11 18:40:13,1613244405229522944,1613244405229522944,"Que Deus nos abençoe e nos proteja 🙏❤️ #PELÉETERNO https://t.co/twyQZuvkNz","Que Deus nos abençoe e nos proteja 🙏❤️ #PELÉETERNO https://t.co/twyQZuvkNz",FALSE,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4909,89031,FALSE,NA,FALSE,NA,"pt",FALSE,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","neymarjr",2023-01-10 12:21:34,1612786727353028608,1612786727353028608,"Terça feira ✋🏽😝🤚🏽 https://t.co/789eQr7J3m","Terça feira ✋🏽😝🤚🏽 https://t.co/789eQr7J3m",FALSE,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,10604,286914,FALSE,NA,FALSE,NA,"pt",FALSE,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","neymarjr",2023-01-09 22:23:45,1612575885089034240,1612575885089034240,"Segunda feira 🤷🏽‍♂️ https://t.co/YnaeGtNOlZ","Segunda feira 🤷🏽‍♂️ https://t.co/YnaeGtNOlZ",FALSE,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,10529,305624,FALSE,NA,FALSE,NA,"pt",FALSE,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
